
Company,Category,Sub-Category,Acquired/IPO,Exit Year,Data Driven / Hardwired Video
Misfit,Data Sources & APIs,Health,Acquired by Fossil in November 2015,2015,
Netatmo,Data Sources & APIs,Health,Acquired by Legrand in November 2018,2018,
Practice Fusion,Data Sources & APIs,Health,,,
Validic,Data Sources & APIs,Health,,,
Withings,Data Sources & APIs,Health,Acquired by Nokia in April 2016,2016,
Carto,Data Sources & APIs,Location Intelligence,,,Video
Cuebiq,Data Sources & APIs,Location Intelligence,,,
Esri,Data Sources & APIs,Location Intelligence,,,
Foursquare,Data Sources & APIs,Location Intelligence,,,Video
Hexagon Geospatial,Data Sources & APIs,Location Intelligence,,,
Locu,Data Sources & APIs,Location Intelligence,Acquired by GoDaddy in August 2013,2013,
Loqate,Data Sources & APIs,Location Intelligence,Acquired by GBGroup in April 2015,2015,
MapAnything,Data Sources & APIs,Location Intelligence,,,
Mapbox,Data Sources & APIs,Location Intelligence,,,
Mapillary,Data Sources & APIs,Location Intelligence,,,
OpenStreetMap,Data Sources & APIs,Location Intelligence,,,
Pitney Bowes,Data Sources & APIs,Location Intelligence,,,
PlaceIQ,Data Sources & APIs,Location Intelligence,,,Video
Radar.io,Data Sources & APIs,Location Intelligence,,,
Sense360,Data Sources & APIs,Location Intelligence,,,
Apollo Scape,Data Sources & APIs,Other,,,
Berkeley DeepDrive,Data Sources & APIs,Other,,,
COCO,Data Sources & APIs,Other,,,
Crux Informatics,Data Sources & APIs,Other,,,
Data.gov,Data Sources & APIs,Other,,,Video
Gnip,Data Sources & APIs,Other,Acquired by Twitter in April 2014,2014,Video
Highcharts,Data Sources & APIs,Other,,,
ImageNet,Data Sources & APIs,Other,,,
LabelMe,Data Sources & APIs,Other,,,
Narrative,Data Sources & APIs,Other,,,
Panjiva,Data Sources & APIs,Other,Acquired by S&P in February 2018,2018,Video
WikiLinks,Data Sources & APIs,Other,,,
xView,Data Sources & APIs,Other,,,
DemystData,Data Sources & APIs,People / Entities,,,
Acxiom,Data Sources & APIs,People/Entities,,,
Basis Technology,Data Sources & APIs,People/Entities,,,
BlueKai,Data Sources & APIs,People/Entities,Acquired by Oracle in February 2014,2014,
Brandwatch,Data Sources & APIs,People/Entities,Acquired by Brandwatch in October 2018,2018,
Circulate,Data Sources & APIs,People/Entities,Acquired by Acxiom in November 2016,2016,
Datalogix,Data Sources & APIs,People/Entities,Acquired by Oracle in December 2014,2014,
DataMarket,Data Sources & APIs,People/Entities,Acquired by Qlik in October 2014,2014,Video
Epsilon,Data Sources & APIs,People/Entities,,,
Experian,Data Sources & APIs,People/Entities,,,
Fliptop,Data Sources & APIs,People/Entities,Acquired by LinkedIn in August 2015,2015,
InsideView,Data Sources & APIs,People/Entities,,,
Knoema,Data Sources & APIs,People/Entities,,,
LiveRamp,Data Sources & APIs,People/Entities,Acquired by Acxiom in May 2014,2014,
Melissa,Data Sources & APIs,People/Entities,,,
Placemeter,Data Sources & APIs,People/Entities,Acquired by Netgear in December 2016,2016,Video
Safegraph,Data Sources & APIs,People/Entities,,,Video
Zoominfo,Data Sources & APIs,People/Entities,,,
ARM,Infrastructure,AI Hardware,,,
Berkshire Grey,Infrastructure,AI Hardware,,,
Cerebras,Infrastructure,AI Hardware,,,Video
Cerebras Systems,Infrastructure,AI Hardware,,,
Cornami,Infrastructure,AI Hardware,,,
Covariant,Infrastructure,AI Hardware,,,
Credo,Infrastructure,AI Hardware,,,
Efinix,Infrastructure,AI Hardware,,,
Esperanto Technologies,Infrastructure,AI Hardware,,,
Flex Logix,Infrastructure,AI Hardware,,,
Google TPU,Infrastructure,AI Hardware,,,
Graphcore,Infrastructure,AI Hardware,,,
Hailo,Infrastructure,AI Hardware,,,
Horizon Robotics,Infrastructure,AI Hardware,,,
IBM Power Systems,Infrastructure,AI Hardware,,,
Intel AI,Infrastructure,AI Hardware,Acquired by Intel in August 2016,2016,
Intellifusion,Infrastructure,AI Hardware,,,
Movidius,Infrastructure,AI Hardware,Acquired by Intel in September 2016,2016,
Mythic,Infrastructure,AI Hardware,,,
NVIDIA DGX-1,Infrastructure,AI Hardware,,,
Scortex,Infrastructure,AI Hardware,,,
Wave Computing,Infrastructure,AI Hardware,,,
Algorithmia,Infrastructure,AI Ops,,,Video
Arthur,Infrastructure,AI Ops,,,
Comet.ml,Infrastructure,AI Ops,,,
Darwin AI,Infrastructure,AI Ops,,,
Datatron,Infrastructure,AI Ops,,,
Datmo,Infrastructure,AI Ops,,,
Determined AI,Infrastructure,AI Ops,,,
Fiddler,Infrastructure,AI Ops,,,
Fiddler,Infrastructure,AI Ops,,,
Fritz,Infrastructure,AI Ops,,,
Saagie,Infrastructure,AI Ops,,,
Spell,Infrastructure,AI Ops,,,Video
StreamSQL,Infrastructure,AI Ops,,,
Tecton.AI,Infrastructure,AI Ops,,,
Verta,Infrastructure,AI Ops,,,
Weights,Infrastructure,AI Ops,,,
Apigee,Infrastructure,App Dev,Acquired by Google in September 2016,2016,
Cask,Infrastructure,App Dev,Acquired by Google in May 2018,2018,Video
Driven.io,Infrastructure,App Dev,Acquired by Xplenty in December 2016,2016,
Keen IO,Infrastructure,App Dev,,,
Lightbend,Infrastructure,App Dev,,,
Rainforest QA,Infrastructure,App Dev,,,
Acunu,Infrastructure,Cluster Services,Acquired by Apple in March 2015,2015,
Amazon ECS,Infrastructure,Cluster Services,,,
Amazon EKS,Infrastructure,Cluster Services,,,
Anyscale,Infrastructure,Cluster Services,,,
Azure CycleCloud,Infrastructure,Cluster Services,,,
Bright Cluster Manager,Infrastructure,Cluster Services,,,
CoreOS,Infrastructure,Cluster Services,Acquired by Red Hat in January 2018,2018,
Google Borg,Infrastructure,Cluster Services,,,
Google Omega,Infrastructure,Cluster Services,,,
HPE Performance Cluster Manager,Infrastructure,Cluster Services,,,
IBM Platform Cluster Manager,Infrastructure,Cluster Services,,,
IBM Power Systems,Infrastructure,Cluster Services,,,
IBM Tivoli System Automation for Multiplatforms,Infrastructure,Cluster Services,,,
LexisNexis HPCC Systems,Infrastructure,Cluster Services,,,
Mesosphere,Infrastructure,Cluster Services,,,Video
Microsoft Cluster Server,Infrastructure,Cluster Services,,,
Packet,Infrastructure,Cluster Services,,,
PepperData,Infrastructure,Cluster Services,,,
Scyld ClusterWare,Infrastructure,Cluster Services,,,
StackIQ,Infrastructure,Cluster Services,,,
Scale AI,Infrastructure,Data Generation & Labeling,,,
AI.Reverie,Infrastructure,Data Generation & Labelling,,,
Amazon Mechanical Turk,Infrastructure,Data Generation & Labelling,,,
Appen,Infrastructure,Data Generation & Labelling,Acquired by Appen in March 2019,2019,Video
DataGen,Infrastructure,Data Generation & Labelling,,,
Hive,Infrastructure,Data Generation & Labelling,,,
Labelbox,Infrastructure,Data Generation & Labelling,,,
Lionbridge,Infrastructure,Data Generation & Labelling,,,
Neuromation,Infrastructure,Data Generation & Labelling,,,
Samasource,Infrastructure,Data Generation & Labelling,,,
Scale,Infrastructure,Data Generation & Labelling,,,
Servio,Infrastructure,Data Generation & Labelling,Acquired by CrowdSource in November 2013,2013,
Unity,Infrastructure,Data Generation & Labelling,,,
Upwork,Infrastructure,Data Generation & Labelling,,,
Alation,Infrastructure,Data Governance & Access,,,Video
BackOffice Associates,Infrastructure,Data Governance & Access,Acquired by Bridge Growth Partners in January 2018,2018,
Collibra,Infrastructure,Data Governance & Access,,,Video
data.world,Infrastructure,Data Governance & Access,,,
Dremio,Infrastructure,Data Governance & Access,,,
IBM,Infrastructure,Data Governance & Access,,,
Immuta,Infrastructure,Data Governance & Access,,,
Informatica,Infrastructure,Data Governance & Access,,,
MANTA,Infrastructure,Data Governance & Access,,,
McAfee Skyhigh Security Cloud (fka Skyhigh Networks),Infrastructure,Data Governance & Access,Acquired by McAfee in November 2017,2017,
Okera,Infrastructure,Data Governance & Access,,,
Sailpoint,Infrastructure,Data Governance & Access,IPO in November 2017,2017,
Waterline Data,Infrastructure,Data Governance & Access,Acquired by Hitachi in January 2020,2020,
Alooma,Infrastructure,Data Integration,Acquired by Google in February 2019,2019,
Attunity,Infrastructure,Data Integration,Acquired by Qlik in February 2019,2019,
Bedrock Data,Infrastructure,Data Integration,Acquired by Formstack in February 2019,2019,
Census,Infrastructure,Data Integration,,,
Enigma,Infrastructure,Data Integration,,,Video
Fivetran,Infrastructure,Data Integration,,,
Import.io,Infrastructure,Data Integration,,,
Informatica,Infrastructure,Data Integration,,,
Infoworks.io,Infrastructure,Data Integration,,,
Matillion,Infrastructure,Data Integration,,,
MuleSoft,Infrastructure,Data Integration,Acquired by Salesforce in March 2018,2018,
Podium Data,Infrastructure,Data Integration,Acquired by Qlik in July 2018,2018,
Pool Party,Infrastructure,Data Integration,,,
SAP Data Services,Infrastructure,Data Integration,,,
Segment,Infrastructure,Data Integration,,,Video
SnapLogic,Infrastructure,Data Integration,,,
Snowplow,Infrastructure,Data Integration,,,
Stitch Data,Infrastructure,Data Integration,Acquired by Talend in November 2018,2018,
Tealium,Infrastructure,Data Integration,,,
Tray,Infrastructure,Data Integration,,,
Xplenty,Infrastructure,Data Integration,Acquired by Xenon Ventures in December 2018,2018,
Zaloni,Infrastructure,Data Integration,,,
AWS Lake Formation,Infrastructure,Data Lakes,,,
Azure Data Lake Storage,Infrastructure,Data Lakes,,,
Cazena,Infrastructure,Data Lakes,,,Video
Dremio,Infrastructure,Data Lakes,,,
IBM Power Systems,Infrastructure,Data Lakes,,,
Qubole,Infrastructure,Data Lakes,,,Video
Yellowbrick Data,Infrastructure,Data Lakes,,,
Databand,Infrastructure,Data Quality,,,
Datafold,Infrastructure,Data Quality,,,
Great Expectations,Infrastructure,Data Quality,,,
Monte Carlo Data,Infrastructure,Data Quality,,,
Precisely,Infrastructure,Data Quality,,,
Soda Data,Infrastructure,Data Quality,,,
Talend,Infrastructure,Data Quality,,,
Toro,Infrastructure,Data Quality,,,
Amazon Redshift,Infrastructure,Data Warehouses,,,
Azure Synapse,Infrastructure,Data Warehouses,,,
Firebolt,Infrastructure,Data Warehouses,,,
Google BigQuery,Infrastructure,Data Warehouses,,,
Google Mesa,Infrastructure,Data Warehouses,,,
InfoWorks,Infrastructure,Data Warehouses,,,
Infoworks.io,Infrastructure,Data Warehouses,,,
Microsoft SQL Data Warehouse,Infrastructure,Data Warehouses,,,
Oracle Exadata Cloud,Infrastructure,Data Warehouses,,,
Pivotal Greenplum,Infrastructure,Data Warehouses,,,
Snowflake,Infrastructure,Data Warehouses,,,Video
SpaceCurve,Infrastructure,Data Warehouses,,,
Alteryx,Infrastructure,ETL / Data Transformation,,,
AWS Athena,Infrastructure,ETL / Data Transformation,,,
AWS Glue,Infrastructure,ETL / Data Transformation,,,
Azure Data Factory,Infrastructure,ETL / Data Transformation,,,
Fishtown Analytics,Infrastructure,ETL / Data Transformation,,,
Kalido,Infrastructure,ETL / Data Transformation,,,
Lattice Data,Infrastructure,ETL / Data Transformation,Acquired by Apple in May 2017,2017,
Paxata,Infrastructure,ETL / Data Transformation,Acquired by Data Robot in December 2019,2019,Video
Pentaho,Infrastructure,ETL / Data Transformation,Acquired by Hitachi in Feb 2015,2015,
Revelytix,Infrastructure,ETL / Data Transformation,Acquired by Teradata in July 2014,2014,
StreamSets,Infrastructure,ETL / Data Transformation,,,
StrikeIron,Infrastructure,ETL / Data Transformation,Acquired by Informatica in July 2014,2014,
Talend,Infrastructure,ETL / Data Transformation,IPO in July 2016,2016,Video
Tamr,Infrastructure,ETL / Data Transformation,,,Video
Trifacta,Infrastructure,ETL / Data Transformation,,,Video
Blazegraph,Infrastructure,GPU DBs & Cloud,,,
BlazingDB,Infrastructure,GPU DBs & Cloud,,,
Brytlyt,Infrastructure,GPU DBs & Cloud,,,
Fauna,Infrastructure,GPU DBs & Cloud,,,
FloydHub,Infrastructure,GPU DBs & Cloud,,,
Kinetica,Infrastructure,GPU DBs & Cloud,,,Video
OmniSci,Infrastructure,GPU DBs & Cloud,,,Video
Paperspace,Infrastructure,GPU DBs & Cloud,,,Video
PG-Strom,Infrastructure,GPU DBs & Cloud,,,
SQream,Infrastructure,GPU DBs & Cloud,,,
SQream,Infrastructure,GPU DBs & Cloud,,,
Amazon Neptune,Infrastructure,Graph Databases,,,
Aster Data,Infrastructure,Graph Databases,Acquired by Teradata in March 2011,2011,Video
Aurelius TitanDB,Infrastructure,Graph Databases,Acquired by Datastax in Feb 2015,2015,
Cambridge Semantics,Infrastructure,Graph Databases,,,
Giraph,Infrastructure,Graph Databases,,,
GraphDB,Infrastructure,Graph Databases,Acquired by Ontotext in 2014,2014,
IBM Graph,Infrastructure,Graph Databases,,,
InfiniteGraph,Infrastructure,Graph Databases,,,
Neo4j,Infrastructure,Graph Databases,,,Video
Objectivity,Infrastructure,Graph Databases,,,
Oracle Spatial and Graph,Infrastructure,Graph Databases,,,
OrientDB,Infrastructure,Graph Databases,Acquired by CallidusCloud in September 2017,2017,
Stardog,Infrastructure,Graph Databases,,,
TigergraphDB,Infrastructure,Graph Databases,,,
Altiscale,Infrastructure,Hadoop,Acquired by SAP in September 2016,2016,Video
Amazon Elastic Map Reduce,Infrastructure,Hadoop,,,
BlueData Software,Infrastructure,Hadoop,Acquired by Hewlett Packard in November 2018,2018,
CenturyLink,Infrastructure,Hadoop,,,
Cloudera,Infrastructure,Hadoop,IPO in April 2017,2017,Video
Google DataProc,Infrastructure,Hadoop,,,
Google MillWheel,Infrastructure,Hadoop,,,
Hadapt,Infrastructure,Hadoop,Acquired by Teradata in July 2014,2014,Video
Hstreaming,Infrastructure,Hadoop,Acquired by Adello in September 2013,2013,
IBM InfoSphere BigInsights,Infrastructure,Hadoop,,,
IBM InfoSphere BigInsights,Infrastructure,Hadoop,,,
Infochimps,Infrastructure,Hadoop,Acquired by CSC in August 2013,2013,Video
Jethro,Infrastructure,Hadoop,,,
Microsoft Azure HDInsight,Infrastructure,Hadoop,,,
Mortar,Infrastructure,Hadoop,Acquired by Datadog in February 2015,2015,Video
Pivotal,Infrastructure,Hadoop,IPO in April 2018,2018,
Treasure Data,Infrastructure,Hadoop,Acquired by Arm in July 2018,2018,
Actifio,Infrastructure,Mgmt/Monitoring,,,
Amazon CloudWatch,Infrastructure,Mgmt/Monitoring,,,
AppDynamics,Infrastructure,Mgmt/Monitoring,Acquired by Cisco in January 2017,2017,
AppFirst,Infrastructure,Mgmt/Monitoring,Acquired by ScienceLogic in August 2016,2016,
Boundary,Infrastructure,Mgmt/Monitoring,Acquired by BMC in August 2015,2015,
Chronosphere,Infrastructure,Mgmt/Monitoring,,,
Datadog,Infrastructure,Mgmt/Monitoring,,,Video
Driven.io,Infrastructure,Mgmt/Monitoring,Acquired by Xplenty in December 2016,2016,
Dynatrace,Infrastructure,Mgmt/Monitoring,,,
Grafana Labs,Infrastructure,Mgmt/Monitoring,,,
Magnitude Software,Infrastructure,Mgmt/Monitoring,,,
ManageEngine (Zoho),Infrastructure,Mgmt/Monitoring,,,
Metafor Software,Infrastructure,Mgmt/Monitoring,Acquired by Splunk in June 2015,2015,
MOOGsoft,Infrastructure,Mgmt/Monitoring,,,
Nagios,Infrastructure,Mgmt/Monitoring,,,
New Relic,Infrastructure,Mgmt/Monitoring,IPO in December 2014,2014,
Numerify,Infrastructure,Mgmt/Monitoring,,,
OceanSync,Infrastructure,Mgmt/Monitoring,,,
OpsRamp,Infrastructure,Mgmt/Monitoring,,,
PagerDuty,Infrastructure,Mgmt/Monitoring,IPO in April 2019,2019,
Rocana,Infrastructure,Mgmt/Monitoring,Acquired by Splunk in October 2017,2017,
ScaleARC,Infrastructure,Mgmt/Monitoring,,,
Scalyr,Infrastructure,Mgmt/Monitoring,,,
ScienceLogic,Infrastructure,Mgmt/Monitoring,,,
SignalFX,Infrastructure,Mgmt/Monitoring,Acquired by Splunk,2019,
Solarwinds,Infrastructure,Mgmt/Monitoring,,,
Splunk,Infrastructure,Mgmt/Monitoring,,,Video
Unravel Data,Infrastructure,Mgmt/Monitoring,,,
Veeam,Infrastructure,Mgmt/Monitoring,,,
Wavefront,Infrastructure,Mgmt/Monitoring,,,
Zenoss,Infrastructure,Mgmt/Monitoring,,,
Actian,Infrastructure,MPP Databases,,,
Exasol,Infrastructure,MPP Databases,,,
HPE Vertica,Infrastructure,MPP Databases,,,
IBM Data Warehouse Systems (fka Netezza),Infrastructure,MPP Databases,,,
Kognitio,Infrastructure,MPP Databases,,,
ParAccel,Infrastructure,MPP Databases,Acquired by Actian in April 2013,2013,
Teradata,Infrastructure,MPP Databases,,,
Amazon Aurora,Infrastructure,NewSQL Databases,,,
Citus Data,Infrastructure,NewSQL Databases,Acquired by Microsoft in January 2019,2019,
Clustrix,Infrastructure,NewSQL Databases,Acquired by MariaDB in September 2018,2018,
CockroachDB,Infrastructure,NewSQL Databases,,,Video
Google Spanner,Infrastructure,NewSQL Databases,,,Video
InfluxData,Infrastructure,NewSQL Databases,,,Video
MariaDB,Infrastructure,NewSQL Databases,,,
MemSQL,Infrastructure,NewSQL Databases,,,Video
NuoDB,Infrastructure,NewSQL Databases,,,
Paradigm4 SciDB,Infrastructure,NewSQL Databases,,,
Pivotal GemFire XD,Infrastructure,NewSQL Databases,,,
Rainstor,Infrastructure,NewSQL Databases,Acquired by Teradata in Dec 2014,2014,
SAP HANA,Infrastructure,NewSQL Databases,,,
Splice Machine,Infrastructure,NewSQL Databases,,,
TiDB (by PingCAP),Infrastructure,NewSQL Databases,,,
Timescale,Infrastructure,NewSQL Databases,,,Video
Trafodion,Infrastructure,NewSQL Databases,,,
VoltDB,Infrastructure,NewSQL Databases,,,
Aerospike,Infrastructure,NoSQL Databases,,,
Amazon DocumentDB,Infrastructure,NoSQL Databases,,,
Amazon DynamoDB,Infrastructure,NoSQL Databases,,,
ArangoDB,Infrastructure,NoSQL Databases,,,
Basho,Infrastructure,NoSQL Databases,,,
Cloudant,Infrastructure,NoSQL Databases,Acquired by IBM in March 2014,2014,
Couchbase,Infrastructure,NoSQL Databases,,,
DataStax,Infrastructure,NoSQL Databases,,,
FoundationDB,Infrastructure,NoSQL Databases,Acquired by Apple in March 2015,2015,
Google Cloud Bigtable,Infrastructure,NoSQL Databases,,,
Google Cloud DataStore,Infrastructure,NoSQL Databases,,,
Hypertable,Infrastructure,NoSQL Databases,,,
MarkLogic,Infrastructure,NoSQL Databases,,,
Microsoft CosmosDB,Infrastructure,NoSQL Databases,,,
MongoDB,Infrastructure,NoSQL Databases,IPO in November 2017,2017,Video
OhmData,Infrastructure,NoSQL Databases,Acquired by WANdisco in June 2014,2014,
Oracle,Infrastructure,NoSQL Databases,,,
Redis Labs,Infrastructure,NoSQL Databases,,,
ScyllaDB,Infrastructure,NoSQL Databases,,,
SequoiaDB,Infrastructure,NoSQL Databases,,,
AWS Lambda,Infrastructure,Serverless,,,
Azure Functions,Infrastructure,Serverless,,,
Google Cloud Functions,Infrastructure,Serverless,,,
Nuclio,Infrastructure,Serverless,,,
Pivotal Function Service,Infrastructure,Serverless,,,
Pulsar Functions,Infrastructure,Serverless,,,
Alluxio,Infrastructure,Storage,,,Video
Amazon S3,Infrastructure,Storage,,,
Amplidata,Infrastructure,Storage,Acquired by HGST in March 2015,2015,
Avere Systems,Infrastructure,Storage,Acquired by Microsoft in January 2018,2018,
Azure Storage,Infrastructure,Storage,,,
Cleversafe,Infrastructure,Storage,Aquired by IBM in October 2015,2015,
Clumio,Infrastructure,Storage,,,
Cohesity,Infrastructure,Storage,,,
Compuverde,Infrastructure,Storage,,,
Google Cloud Storage,Infrastructure,Storage,,,
Google Cloud Storage NearLine,Infrastructure,Storage,,,
IBM Data Storage,Infrastructure,Storage,,,
Nimble Storage,Infrastructure,Storage,Acquired by HPE in March 2017,2017,
Panasas,Infrastructure,Storage,Acquired by Dowroc Partners in January 2019,2019,
Pure Storage,Infrastructure,Storage,,,
Qumulo,Infrastructure,Storage,,,
Springpath,Infrastructure,Storage,Acquired by Cisco in August 2017,2017,
VAST Data,Infrastructure,Storage,,,
Wasabi,Infrastructure,Storage,,,
Amazon Kinesis,Infrastructure,Streaming / In-Memory,,,
Amiato,Infrastructure,Streaming / In-Memory,Acquired by Amazon in April 2015,2015,
Causata,Infrastructure,Streaming / In-Memory,Acquired by NICE Systems in August 2013,2013,
Confluent,Infrastructure,Streaming / In-Memory,,,Video
Data Artisans,Infrastructure,Streaming / In-Memory,Acquired by Alibaba in January 2019,2019,Video
Databricks,Infrastructure,Streaming / In-Memory,,,Video
DataTorrent,Infrastructure,Streaming / In-Memory,Closed,2018,
DataTorrent,Infrastructure,Streaming / In-Memory,,,
Fastdata.io,Infrastructure,Streaming / In-Memory,,,
GigaSpaces,Infrastructure,Streaming / In-Memory,,,
Google Cloud DataFlow,Infrastructure,Streaming / In-Memory,,,
GridGain,Infrastructure,Streaming / In-Memory,,,
Hazelcast,Infrastructure,Streaming / In-Memory,,,
Kx Systems,Infrastructure,Streaming / In-Memory,Acquired by First Derivatives in July 2018,2018,
Landoop,Infrastructure,Streaming / In-Memory,,,
MetaMarkets,Infrastructure,Streaming / In-Memory,Acquired by Snap in November 2017,2017,Video
Parstream,Infrastructure,Streaming / In-Memory,Acquired by Cisco in November 2015,2015,
Striim,Infrastructure,Streaming / In-Memory,,,
Wallaroo Labs,Infrastructure,Streaming / In-Memory,,,Video
MindsDB,Open Source,AI / Machine Learning / Deep Learning,,,
BentoML,Open Source,AI Ops & Infra,,,
DVC,Open Source,AI Ops & Infra,,,
Hopsworks,Open Source,AI Ops & Infra,,,
Kubeflow,Open Source,AI Ops & Infra,,,
MLeap,Open Source,AI Ops & Infra,,,
MLflow,Open Source,AI Ops & Infra,,,
Pachyderm,Open Source,AI Ops & Infra,,,
Polyaxon,Open Source,AI Ops & Infra,,,
Seldon,Open Source,AI Ops & Infra,,,
Snorkel,Open Source,AI Ops & Infra,,,
Aerosolve,Open Source,AI/Machine Learning/Deep Learning,,,
Caffe,Open Source,AI/Machine Learning/Deep Learning,,,
Caret,Open Source,AI/Machine Learning/Deep Learning,,,
Chainer,Open Source,AI/Machine Learning/Deep Learning,,,
Deeplearning4j,Open Source,AI/Machine Learning/Deep Learning,,,
DIMSUM,Open Source,AI/Machine Learning/Deep Learning,,,
DMTK,Open Source,AI/Machine Learning/Deep Learning,,,
DSSTNE,Open Source,AI/Machine Learning/Deep Learning,,,
fast.ai,Open Source,AI/Machine Learning/Deep Learning,,,
FeatureFu,Open Source,AI/Machine Learning/Deep Learning,,,
Horovod,Open Source,AI/Machine Learning/Deep Learning,,,
Intel AI,Open Source,AI/Machine Learning/Deep Learning,,,
Keras,Open Source,AI/Machine Learning/Deep Learning,,,
Ludwig,Open Source,AI/Machine Learning/Deep Learning,,,
MADlib,Open Source,AI/Machine Learning/Deep Learning,,,
Mahout,Open Source,AI/Machine Learning/Deep Learning,,,
Michelangelo,Open Source,AI/Machine Learning/Deep Learning,,,
Microsoft Cognitive Toolkit,Open Source,AI/Machine Learning/Deep Learning,,,
mlr,Open Source,AI/Machine Learning/Deep Learning,,,
MXNET,Open Source,AI/Machine Learning/Deep Learning,,,
ONNX,Open Source,AI/Machine Learning/Deep Learning,,,
OpenAI,Open Source,AI/Machine Learning/Deep Learning,,,
OpenML,Open Source,AI/Machine Learning/Deep Learning,,,
PaddlePaddle,Open Source,AI/Machine Learning/Deep Learning,,,
PyML,Open Source,AI/Machine Learning/Deep Learning,,,
PyTorch,Open Source,AI/Machine Learning/Deep Learning,,,
scikit-learn,Open Source,AI/Machine Learning/Deep Learning,,,
Singa,Open Source,AI/Machine Learning/Deep Learning,,,
Spark MLlib,Open Source,AI/Machine Learning/Deep Learning,,,
TensorFlow,Open Source,AI/Machine Learning/Deep Learning,,,
Theano,Open Source,AI/Machine Learning/Deep Learning,,,
Torch,Open Source,AI/Machine Learning/Deep Learning,,,
Veles,Open Source,AI/Machine Learning/Deep Learning,,,
Weka,Open Source,AI/Machine Learning/Deep Learning,,,
Anaconda,Open Source,Collaboration,,,
BeakerX,Open Source,Collaboration,,,
Jupyter,Open Source,Collaboration,,,Video
Zeppelin,Open Source,Collaboration,,,
Accumulo,Open Source,Data Access & Databases,,,
Amundsen,Open Source,Data Access & Databases,,,
Cassandra,Open Source,Data Access & Databases,,,
CockroachDB,Open Source,Data Access & Databases,,,
CouchDB,Open Source,Data Access & Databases,,,
Druid,Open Source,Data Access & Databases,,,
EdgeDB,Open Source,Data Access & Databases,,,
Flume,Open Source,Data Access & Databases,,,
Google Spanner,Open Source,Data Access & Databases,,,
HBase,Open Source,Data Access & Databases,,,
LinkedIn Datahub,Open Source,Data Access & Databases,,,
MongoDB,Open Source,Data Access & Databases,IPO in November 2017,2017,Video
OpenTSDB,Open Source,Data Access & Databases,,,
Redis,Open Source,Data Access & Databases,,,
Riak,Open Source,Data Access & Databases,,,
SciDB,Open Source,Data Access & Databases,,,
Sqoop,Open Source,Data Access & Databases,,,
CDAP,Open Source,Frameworks,Cask, developer of CDAP, acquired by Google Cloud in January 2018,2018,
Docker,Open Source,Frameworks,,,
Flink,Open Source,Frameworks,,,
HDFS,Open Source,Frameworks,,,
Heartbeat,Open Source,Frameworks,,,
Helix,Open Source,Frameworks,,,
Kubernetes,Open Source,Frameworks,,,
Kylin,Open Source,Frameworks,,,
MapReduce,Open Source,Frameworks,,,
Mesos,Open Source,Frameworks,,,
Red Hat Cluster Suite,Open Source,Frameworks,,,
Slider,Open Source,Frameworks,,,
Spark,Open Source,Frameworks,,,
Tez,Open Source,Frameworks,,,
YARN,Open Source,Frameworks,,,
Elasticsearch,Open Source,Logging & Monitoring,,,
Fluent Bit,Open Source,Logging & Monitoring,,,
Fluentd,Open Source,Logging & Monitoring,,,
Grafana,Open Source,Logging & Monitoring,,,
Kibana,Open Source,Logging & Monitoring,,,
Logstash,Open Source,Logging & Monitoring,,,
Prometheus,Open Source,Logging & Monitoring,,,
Sentry,Open Source,Logging & Monitoring,,,
Vector,Open Source,Logging & Monitoring,,,
Talend,Open Source,Orchestration & Management,IPO in July 2016,2016,
ZooKeeper,Open Source,Orchestration & Management,,,
Ambari,Open Source,Orchestration & Pipelines,,,
Apache Airflow,Open Source,Orchestration & Pipelines,,,
Apache Mesos,Open Source,Orchestration & Pipelines,,,
Argo,Open Source,Orchestration & Pipelines,,,
Dagster,Open Source,Orchestration & Pipelines,,,
Dask,Open Source,Orchestration & Pipelines,,,
dbt,Open Source,Orchestration & Pipelines,,,
etcd,Open Source,Orchestration & Pipelines,,,
Flyte,Open Source,Orchestration & Pipelines,,,
Kedro,Open Source,Orchestration & Pipelines,,,
Luigi,Open Source,Orchestration & Pipelines,,,
Marquez,Open Source,Orchestration & Pipelines,,,
Oozie,Open Source,Orchestration & Pipelines,,,
Prefect,Open Source,Orchestration & Pipelines,,,
Ray,Open Source,Orchestration & Pipelines,,,
Tekton,Open Source,Orchestration & Pipelines,,,
Drill,Open Source,Query/Data Flow,,,
Flink,Open Source,Query/Data Flow,,,
Google Cloud DataFlow,Open Source,Query/Data Flow,,,
GraphQL,Open Source,Query/Data Flow,,,
Hawq,Open Source,Query/Data Flow,,,
HIVE,Open Source,Query/Data Flow,,,
PIG,Open Source,Query/Data Flow,,,
Presto,Open Source,Query/Data Flow,,,
SlamData,Open Source,Query/Data Flow,,,
Spark SQL,Open Source,Query/Data Flow,,,
Trafodion,Open Source,Query/Data Flow,,,
Accumulo,Open Source,Search,,,
ElasticSearch,Open Source,Search,,,
Lucene,Open Source,Search,,,
Meilisearch,Open Source,Search,,,
Solr,Open Source,Search,,,
Sonic,Open Source,Search,,,
Sphinx,Open Source,Search,,,
Toshi,Open Source,Search,,,
Knox,Open Source,Security,,,
Ranger,Open Source,Security,,,
Sentry,Open Source,Security,,,
data.table,Open Source,Stat Tools & Languages,,,
Julia,Open Source,Stat Tools & Languages,,,
